标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,132,舒悦杉,舒悦杉（正常）,左,我希望你能把你知道的一切告诉我。,133,,,,,hlj,,,
#,133,舒悦杉,舒悦杉（正常）,左,我知道你做着一切都是为了你妹妹，我也想尽自己的努力去帮你——。,134,,,,,hlj,,,
#,134,哈伦,哈伦（冰冷）,右,……闭嘴。别当着我妹妹的面说这些。,135,,,,,hlj,,,
#,135,哈伦,哈伦（冰冷）,右,别以为我不知道，说是为了我妹妹，其实是你自己想找莉莉白吧。,136,,,,,hlj,,,
#,136,哈伦,哈伦（冰冷）,右,今晚我没有值班。我会去。,137,,,,,hlj,,,
#,137,群众,群众A,右,哈伦队长！你在里面吗？,138,,,,,hlj,,,
#,138,群众,群众B,右,黑影！黑影又在广场那边出现了！大家都在找你，说广场那边有人被吓疯了。,139,,,,,hlj,,,
#,139,舒悦杉,舒悦杉（惊讶）,左,黑影？？！是我上次在酒馆看到的那个吗？,140,,,,,hlj,,,
#,140,哈伦,哈伦（冰冷）,右,舒小姐，你的提议我收到了。但现在，离迷雾远点，这对大家都好。,141,,,,,hlj,,,
#,141,塞塔,塞塔（胆怯）,右,哈伦哥哥……,142,,,,,hlj,,,
#,142,哈伦,哈伦（冰冷）,右,舒小姐，既然你这么想查，那就跟我去街道上看看吧。,143,,,,,hlj,,,
#,143,哈伦,哈伦（冰冷）,右,看看这些被迷雾折磨的“正常人”。,144,,,,,hlj,,,
#,144,塞塔,塞塔（正常）,右,悦、悦杉姐姐……我们要跟着走吗……,145,,,,,hlj,,,
#,145,舒悦杉,舒悦杉（正常）,左,走吧。我们也去看看。,146,,,,,hlj,,,
#,146,,,,,147,in,,,Dystopian,ds,,,
#,147,群众,群众C,右,黑影——雕塑那边——又出现了——朝我飘过来了——。,148,,,,,ds,,,
#,148,群众,群众A,右,我昨晚也看见了！就在我家窗户外面！一闪就没了，但是那个形状……像个人……,149,,,,,ds,,,
#,149,群众,群众B,右,哈伦队长，这就是你说的安全？我们付了那么多驱雾税，为什么这些东西还是进来了！,150,,,,,ds,,,
#,150,哈伦,哈伦（正常）,右,安静！,151,,,,,ds,,,
#,151,哈伦,哈伦（正常）,右,都退后。这只是雾气过浓产生的幻觉。,152,,,,,ds,,,
#,152,舒悦杉,舒悦杉（凝重 ）,左,不对。那些黑影不是幻觉。我能感觉到一种类似“生物”的视线……,153,,,,,ds,,,
#,153,舒悦杉,舒悦杉（凝重 ）,左,哈伦应该知道些什么...但现在不是说这些的时候...先配合他稳住众人吧。,154,,,,,ds,,,
#,154,群众,群众C,右,幻觉？你每次都说是幻觉！哈伦，你拿着我们交的驱雾税，就只会说这一句话吗！,155,,,,,ds,,,
#,155,群众,群众C,右,还有这个女人！她一回来，酒馆的灯就亮了，黑影也就跟着出现了！她和莉莉白那个魔女是一伙的！,156,,,,,ds,,,
#,156,哈伦,哈伦（冰冷）,右,闭嘴。舒小姐只是调酒师，与最近的异动无关。,157,,,,,ds,,,
#,157,群众,群众A,右,调酒师？那种东西也叫酒？莉莉白当初就是用那些鬼东西把我们城镇害成这副样子！哈伦，你护着她，是因为你也是上头的走狗，想看着我们全死光吗！,158,,,,,ds,,,
#,158,群众,群众A,右,滚出苔眠地！拆掉那间不详的酒馆！我们不需要第二个魔女！,159,,,,,ds,,,
#,159,舒悦杉,舒悦杉（凝重 ）,左,我并不想给小镇带来灾难，我只是想找回我的朋友。,160,,,,,ds,,,
#,160,群众,群众B,右,找回她？她是邪灵！她就该在那场火里烧得干干净净！,161,,,,,ds,,,
#,161,哈伦,哈伦（冰冷）,右,巡逻队执行公务！通通散开！谁再寻衅滋事，直接关进营房！,162,,,,,ds,,,
#,162,哈伦,哈伦（正常）,右, 让你见笑了。在这里，恐惧比雾气更容易传染。,163,,,,,ds,,,
#,163,舒悦杉,舒悦杉（平静）,左,看来你这个队长当得也不容易。,164,,,,,ds,,,
#,164,哈伦,哈伦（正常）,右,习惯了。刚才的事……谢了。,165,,,,,ds,,,
#,165,舒悦杉,舒悦杉（疑惑）,左,哈伦。广场中央那个东西……是什么？,166,,,,,ds,,,
#,166,哈伦,哈伦（正常）,右,"……<color=#91002D>""苔母""</color>。",167,,,,,ds,,,
#,167,哈伦,哈伦（正常）,右,迷雾最开始蔓延时，先祖们试过无数办法。用坚硬的礁石垒起高墙，采集山间草药熬制解药投喂雾中者，甚至组织勇士深入雾核心探寻源头。全都失败了，不少人永远留在了雾里。,168,,,,,ds,,,
#,168,哈伦,哈伦（正常）,右,直到某次绝境中，有人偶然将酿造的新酒泼洒在一个持续产生雾的古老诡异植物前。浓雾竟缓缓退去，维持了一整年的清明。镇民把这个现象视为神迹。 ,169,,,,,ds,,,
#,169,哈伦,哈伦（正常）,右,从此定下习俗，每年这个时候，全镇男女老少皆投身酿酒，再由镇长带领举行盛大祭祀，将最好的酒撒在这个古老的植物前。,170,,,,,ds,,,
#,170,塞塔,塞塔（胆怯）,右,我以前听莉莉白姐姐说过……祭祀的时候，全镇的人都要闭着眼睛。,171,,,,,ds,,,
#,171,塞塔,塞塔（正常）,右,"因为""苔母""不喜欢被直视。",172,,,,,ds,,,
#,172,塞塔,塞塔（正常）,右,看到它真正样子的人，会做梦，梦见自己变成苔藓。,173,,,,,ds,,,
#,173,舒悦杉,舒悦杉（疑惑）,左,（变成苔藓……和哈伦妹妹身上的变化一样？）,174,,,,,ds,,,
#,174,舒悦杉,舒悦杉（平静）,左,塞塔。你那天留给我的那张图解。,175,,,,,ds,,,
#,175,塞塔,塞塔（胆怯）,右,啊……,176,,,,,ds,,,
#,176,舒悦杉,舒悦杉（凝重 ）,左,"那上面画的植物，标注的名字就是""冷杉苔藓""，但实际就是“苔母”对吗？",177,,,,,ds,,,
#,177,塞塔,塞塔（正常）,右,"嗯。那是莉莉白姐姐教我的。她说，这是岛上最古老的东西，也是她研究雾的""起点""。",178,,,,,ds,,,
#,178,舒悦杉,舒悦杉（惊讶）,左,（起点？莉莉白从这种植物身上，找到了对抗迷雾的线索？和神话对上了？）,179,,,,,ds,,,
#,179,舒悦杉,舒悦杉（平静）,左,哈伦。既然它被视为神迹，为什么还会有人害怕它？,180,,,,,ds,,,
#,180,哈伦,哈伦（冰冷）,右,因为神迹不会重复第二次。很多年前，泼酒退雾只发生了一次。之后的每一年，我们照常祭祀，但雾气依然在缓慢地侵蚀这座岛。,181,,,,,ds,,,
#,181,哈伦,哈伦（正常）,右,"有些人说，""苔母""已经死了。现在的雕塑只是镇长安抚人心的摆设。",182,,,,,ds,,,
#,182,哈伦,哈伦（正常）,右,也有人说，它还在地下呼吸，只是……醒来的代价越来越高。,183,,,,,ds,,,
#,183,哈伦,哈伦（正常）,右,现在这里眼睛太多。今晚我会去雾木酒馆，到那时你想问什么再说吧。,184,,,,,ds,,,
#,184,舒悦杉,舒悦杉（正常）,左,好，我准备好酒等你。,185,,,,,ds,,,
#,185,舒悦杉,舒悦杉（正常）,左,走吧，塞塔。我们也回酒馆去。,186,,,,,ds,,,
#,186,,,,,187,,,,Mystery Unsolved,ds,,,
#,187,,,,,188,,,,,jd,,,
#,188,舒悦杉,舒悦杉（平静）,左,塞塔。那天你扔下图解就跑，我还没来得及问你。,189,,,,,jd,,,
#,189,舒悦杉,舒悦杉（疑惑）,左,"你为什么要给我这个？你知道莉莉白拿""冷杉苔藓""做了什么吗？",190,,,,,jd,,,
#,190,塞塔,塞塔（正常）,右,……因为悦杉姐姐身上的味道很像她。,191,,,,,jd,,,
#,191,塞塔,塞塔（正常）,右,莉莉白姐姐收留我的时候，我在酒馆里当学徒。酒馆后面的小房间里种满了这种苔藓。,192,,,,,jd,,,
#,192,塞塔,塞塔（正常）,右,"姐姐说，""冷杉苔藓""是这里独有的东西。她会摘取最嫩的芽尖，晒干研磨成粉，加入基酒里。",193,,,,,jd,,,
#,193,舒悦杉,舒悦杉（疑惑）,左,效果如何？,194,,,,,jd,,,
#,194,塞塔,塞塔（正常）,右,"一开始，只是让酒有一种很冷冽的香气。喝过的人都说，像是""站在清晨的森林里深呼吸""。",195,,,,,jd,,,
#,195,塞塔,塞塔（胆怯）,右,"但后来姐姐开始加大剂量。她说要找到""雾和酒之间的平衡点""。",196,,,,,jd,,,
#,196,塞塔,塞塔（胆怯）,右,有些客人喝了之后……会突然开始说很多话，把心里藏的事全倒出来。还有人声称看见了不存在的东西。墙壁在呼吸，酒杯里有人在跳舞……,197,,,,,jd,,,
#,197,舒悦杉,舒悦杉（凝重 ）,左,（迷雾成分对神经的影响……还是说，她是故意的..对了，之前雪克也说过，那种共鸣剂？）,198,,,,,jd,,,
#,198,塞塔,塞塔（胆怯）,右,"镇上的大人很害怕。他们说莉莉白姐姐在拿大家的命开玩笑，说她的酒是""女巫的毒药""。",199,,,,,jd,,,
#,199,塞塔,塞塔（正常）,右,"但是……也有一些年轻人很喜欢。他们觉得那种""看见不存在的东西""很刺激。渐渐地，酒馆里聚集了一小批追随者。",200,,,,,jd,,,
#,200,塞塔,塞塔（正常）,右,"姐姐当时好高兴，她说酒馆终于""活过来了""。她说需要一个真正的合伙人，把""雾木""做成能——。",201,,,,,jd,,,
#,201,？？？,金女士（轻蔑）,右,啧，这种审美的酒馆，莉莉白的品味还是这么差。,202,,,,The_Trouble_Always_Comes_From_You_full,jd,,,
#,202,舒悦杉,舒悦杉（惊讶）,左,谁？,203,,,,,jd,,,
#,203,？？？,金女士（轻蔑）,右,呵呵。,204,,,,,dm,,,
#,204,舒悦杉,舒悦杉（正常）,左,你是谁？酒馆还没到营业时间。,205,,,,,dm,,,
#,205,？？？,金女士（微笑）,右, 噢，你就是那个“舒悦衫”？那个莉莉白每天都要在我耳边念叨八百遍的“真正的调酒天才”？,206,,,,,dm,,,
#,206,舒悦杉,舒悦杉（疑惑）,左,你认识莉莉白？,207,,,,,dm,,,
#,207,金女士,金女士（微笑）,右,介绍一下，我是金。以前……是莉莉白的商业伙伴。,208,,,,,dm,,,
#,208,金女士,金女士（轻蔑）,右,看到本人，倒是比我想象中要……普通一些。莉莉白总说，如果是你在，一定能把那些配方调配得完美无缺。真可惜，在这个鬼地方，天才和疯子只有一步之遥。,209,,,,,dm,,,
#,209,金女士,金女士（轻蔑）,右,塞塔？莉莉白都失踪了，你这个小跟屁虫还赖在酒馆里不肯走？,210,,,,,dm,,,
#,210,塞塔,塞塔（惊恐）,右,…… ,211,,,,,dm,,,
#,211,舒悦杉,舒悦杉（惊讶）,左,看来你和她的关系不仅仅是伙伴。,212,,,,,dm,,,
#,212,金女士,金女士（正常）,右,曾经是。 莉莉白想研究各式各样的酒，而我想让更多的人看到我们的酒，这本没有错。,213,,,,,dm,,,
#,213,金女士,金女士（轻蔑）,右,直到她为了救那个巡逻队长的妹妹，把我们还在研发的半成品配方，用在了哈伦身上。,214,,,,,dm,,,
#,214,金女士,金女士（轻蔑）,右,"那配方连我们自己都没测试完。她不仅赌上了酒馆的信誉，还让一个穿制服的""外人""知道了我们所有的核心秘密。",215,,,,,dm,,,
#,215,舒悦杉,舒悦杉（凝重）,左,你是说，你们的分歧是因为哈伦？,216,,,,,dm,,,
#,216,金女士,金女士（平静）,右,哈伦只是个导火索。,217,,,,,dm,,,
#,217,金女士,金女士（平静）,右,或许我们根本不该走同一条路。我想先把已经稳定的配方量产，让酒馆成为镇上的支柱，让所有人都能喝到安全的酒。而她呢？,218,,,,,dm,,,
#,218,金女士,金女士（平静）,右,"她嫌速度太慢，嫌疗效不够彻底。她想加入更危险的材料，把酒馆变成救一个人的实验室。她说我眼里只有钱，说我背叛了""雾木""的理想。",219,,,,,dm,,,
#,219,舒悦杉,舒悦杉（平静）,左,所以你们吵翻了。,220,,,,,dm,,,
#,220,金女士,金女士（正常）,右,"吵翻？是她把我踢出了局。她说我不配留在""雾木""。",221,,,,,dm,,,
#,221,舒悦杉,舒悦杉（平静）,左,….,222,,,,,dm,,,
#,222,舒悦杉,舒悦杉（平静）,左,所以你现在找我，是为了什么？,223,,,,,dm,,,
#,223,金女士,金女士（微笑）,右,没什么，只是听到你来到岛上了，想看看能让莉莉白推崇备至的天才罢了。,224,,,,,dm,,,
#,224,金女士,金女士（微笑）,右,今晚我会准时登门。舒小姐，希望能喝到一杯配得上你名声的酒。别像那个莉莉白一样，只会在酒里掺杂莫名其妙的东西。,225,,,,,dm,,,
#,225,,,,,226,out,,,,dm,,,
#,226,,,,,227,in,,,Explore,jgn,,,
#,227,金女士,金女士（微笑）,右,这里的灯光还是太暗了，舒小姐。,228,,,,,jgn,,,
