标志,ID,人物,位置,内容,跳转,效果,音效,背景,提示,变量,立绘,章节,事件
#,23,舒悦杉,左,这么说来你最近都在研究酒虫的事？,24,,,,,,,0,
#,24,莉莉白,右,是的，资料上记载那座酒庄的曾经盛产的酒虫酒添加了酒虫汁液,25,,,,,,,0,
#,25,莉莉白,右,而酒虫汁液就是从苔眠地获取的,26,,,,,,,0,
#,26,莉莉白,右,甚至酒虫酒的配方是基于苔眠地除雾酒而改造的,27,,,,,,,0,
#,27,舒悦杉,左,除雾酒？你不是说过苔眠地总是被迷雾笼罩……而且,28,,,,,,,0,
#,28,莉莉白,右,而且我的父母也死于雾灾,29,,,,,,,0,
#,29,莉莉白,右,我不明白既然有这样的酒，为什么苔眠地从来没有人使用过,30,,,,,,,0,
#,30,莉莉白,右,为什么这个配方会出现在远离苔眠地的酒庄,31,,,,,,,0,
#,31,莉莉白,右,所有人都用着又贵又烂的除雾机苟活,32,,,,,,,0,
#,32,莉莉白,右,我这段时间一直在尝试复现除雾酒,33,,,,,,,0,
#,33,莉莉白,右,可是缺少了酒虫的汁液，无法达到除雾的效果,34,,,,,,,0,
#,34,舒悦杉,左,你不会是想回苔眠地找酒虫吧?,35,,,,,,,0,
#,35,莉莉白,右,没错,36,,,,,,,0,
#,36,舒悦杉,左,可你不是说那里很危险，好不容易逃出来，再也不回去了吗？,37,,,,,,,0,
#,37,舒悦杉,左,既然酒虫是真的，那也许其他安全的地方也有酒虫生存,38,,,,,,,0,
#,38,舒悦杉,左,为什么这么急着做决定,39,,,,,,,0,
#,39,莉莉白,右,因为等不了了,40,,,,,,,0,
#,40,莉莉白,右,自我有印象起，苔眠地的雾灾一年比一年严重,41,,,,,,,0,
#,41,莉莉白,右,我们一同工作过的酒庄有代销苔眠地生产的酒的业务,42,,,,,,,0,
#,42,莉莉白,右,我留意过数据，这几年从苔眠地出口的酒越来越少,43,,,,,,,0,
#,43,莉莉白,右,苔眠地毕竟是我的故乡，我不希望它消失,44,,,,,,,0,
#,44,舒悦杉,左,所以你消失这么久就是来找我说这些的吗？,45,,,,,,,0,
#,45,舒悦杉,左,好不容易见面一次就要说道别的话,46,,,,,,,0,
#,46,莉莉白,右,对我自信一点，等我研究出除雾酒，拥有自己的酒馆,47,,,,,,,0,
#,47,莉莉白,右,一定会请你来苔眠地度假！,48,,,,,,,0,
#,48,莉莉白,右,看在这个承诺的份上，为我调一杯酒吧,49,,,,,,,0,
#,49,莉莉白,右,我想念你的手艺了,50,,,,,,,0,
#,50,舒悦杉,左,唉，好吧，这杯酒祝你一切顺利,51,,,,,,,0,
END,51,黑屏,,,52,,,,,,,0,
#,52,舒悦杉,左,我怎么睡着了,53,,,,,,,0,
#,53,舒悦杉,左,原来是梦吗？确实是很久都没有听到莉莉白的消息了,54,,,,,,,0,
#,54,舒悦杉,左,不知道她在那边的研究进行得怎么样了,55,,,,,,,0,
#,55,舒悦杉,左,咦？什么时候送来的信,56,,,,,,,0,
#,56,舒悦杉,左,这封信是？,57,,,,,,,0,
END,57,结局按钮,,,58,,,,,,,0,
#,58,舒悦杉,左,什么？怎么会！,59,,,,,,,0,
#,59,舒悦杉,左,我当初果然还是该劝阻她的,60,,,,,,,0,
#,60,舒悦杉,左,只是失踪的话，说不定还有生还的机会,61,,,,,,,0,
#,61,舒悦杉,左,苔眠地到底发生了什么,62,,,,,,,0,
END,62,大结局黑屏,,,63,,,,,,,0,
#,63,舒悦杉,左,咳咳,64,,,,,,,1,
#,64,舒悦杉,左,好大的雾气,65,,,,,,,1,
#,65,舒悦杉,左,这里就是苔眠地,66,,,,,,,1,
#,66,舒悦杉,左,雾木酒馆……就是这里了,67,,,,,,,1,
#,67,舒悦杉,左,1,68,,,,,,,1,
#,68,舒悦杉,左,,69,,,,,,,1,
#,69,舒悦杉,左,,70,,,,,,,1,
#,70,舒悦杉,左,,71,,,,,,,1,
#,71,舒悦杉,左,,72,,,,,,,1,
#,72,舒悦杉,左,,73,,,,,,,1,
#,73,舒悦杉,左,,74,,,,,,,1,
#,74,舒悦杉,左,,75,,,,,,,1,
#,75,舒悦杉,左,,76,,,,,,,1,
#,76,舒悦杉,左,,77,,,,,,,1,
#,77,舒悦杉,左,,78,,,,,,,1,
#,78,舒悦杉,左,,79,,,,,,,1,
